Level	NameEN	NameKK	NameRU	Number
2	Bokey ordasy	Бөкей ордасы	Бокейординский	275400000
2	Taskhala	Тасқала	Таскалинский	276000000
2	Zelenov	Зеленов	Зеленовский	274400000
2	Borli	Бөрлі 	Борилинский	273600000
2	Terekti	Теректі	Теректынский	276200000
2	Oral SA	Орал ҚӘ	Уральск ГА	271000000
2	Shynghyrlau	Шыңғырлау	Шынгырлауский	276600000
2	Martok	Мәртөк	Мортыкский	154600000
2	Akhtobe 	Ақтөбе ҚӘ	Актобе ГА	151000000
2	Kharghaly	Қарғалы	Каргалынский	154000000
2	Denisov	Денисов	Денисовский	394000000
2	Taran	Таран	Тарановский	396400000
2	Lisakov SA	Лисаков ҚӘ	Лисаковск ГА	392000000
2	Kharabalykh	Қарабалық	Карабалыкский	395000000
2	Fedorov	Федоров	Федоровский	396800000
2	Mendikhara	Меңдіқара	Мендыкаринский	395600000
2	Khostanay	Қостанай	Костанайский	395400000
2	Khostanay SA	Қостанай ҚӘ	Костанай ГА	391000000
2	Uzynkol SA	Ұзынкөл ҚӘ	Узынкольский	396600000
2	Altynsarin	Алтынсарин	Алтынсаринский	393200000
2	Sarykol	Сарыкөл	Сарыкольский	396200000
2	Kharasu	Қарасу	Карасуский	395200000
2	Auliekol	Әулиекөл	Аулиекольский	393600000
2	Zhitikhara	Жітіқара	Житикаринский	394400000
2	Khamysty	Қамысты	Камыстинский	394800000
2	Syrdariya	Сырдария	Сырдариинский	434800000
2	Bayanauyl	Баянауыл	Баянауылский	553600000
2	Pavlodar	Павлодар	Павлодарский	556000000
2	Pavlodar SA	Павлодар ҚӘ	Павлодар ГА	551000000
2	Akhsu SA	Ақсу ҚӘ	Аксу ГА	551600000
2	Arkhalykh SA	Арқалық ҚӘ	Аркалык ГА	391600000
2	Algha	Алға	Алгинский	153200000
2	Tole bi	Төле би	Толе Би	615800000
2	Sarkhan	Сарқан	Саркандский	196000000
2	Kharatal	Қаратал	Караталский	195000000
2	Kharasay	Қарасай 	Карасайский	195000000
2	Kharatal	Қаратал	Караталский	195000000
